One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
A61Q17/04,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS-- Barrier preparations; Preparations brought into direct contact with the skin for affording protection against external influences, e.g. sunlight, X-rays or other harmful rays, corrosive materials, bacteria or insect stings-- .Topical preparations for affording protection against sunlight or other radiation; Topical sun tanning preparations","Carbon dioxide absorber. --Absorber, Carbon-Dioxide",BSF
A61Q1/02,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS-- Make-up preparations; Body powders; Preparations for removing make-up-- .Preparations containing skin colorants, e.g. pigments (preparations in powder form A61Q1/12)","Carbon dioxide absorber. --Absorber, Carbon-Dioxide",BSF
A61F2/2427,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents (as cosmetic articles, see the relevant subclasses, e.g. wigs, hair pieces, A41G3/00, A41G5/00; artificial nails A45D31/00; dental prostheses A61C13/00; materials for prostheses A61L27/00; artificial hearts A61M60/00; artificial kidneys A61M1/14)-- .Prostheses implantable into the body {closure means for urethra or rectum or for artificial body openings therefor A61F2/0004}-- ..Heart valves {; Vascular valves, e.g. venous valves; Heart implants, e.g. passive devices for improving the function of the native valve or the heart muscle; Transmyocardial revascularisation [TMR] devices; Valves implantable in the body}-- ...Devices for manipulating or deploying heart valves during implantation","Prosthetic heart valve holder. --Holder, Heart-Valve, Prosthesis",DTJ
A61F2/2409,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents (as cosmetic articles, see the relevant subclasses, e.g. wigs, hair pieces, A41G3/00, A41G5/00; artificial nails A45D31/00; dental prostheses A61C13/00; materials for prostheses A61L27/00; artificial hearts A61M60/00; artificial kidneys A61M1/14)-- .Prostheses implantable into the body {closure means for urethra or rectum or for artificial body openings therefor A61F2/0004}-- ..Heart valves {; Vascular valves, e.g. venous valves; Heart implants, e.g. passive devices for improving the function of the native valve or the heart muscle; Transmyocardial revascularisation [TMR] devices; Valves implantable in the body}-- ...Support rings therefor, e.g. for connecting valves to tissue (annuloplasty rings A61F2/2442)","Prosthetic heart valve holder. --Holder, Heart-Valve, Prosthesis",DTJ
A61F2/243,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents (as cosmetic articles, see the relevant subclasses, e.g. wigs, hair pieces, A41G3/00, A41G5/00; artificial nails A45D31/00; dental prostheses A61C13/00; materials for prostheses A61L27/00; artificial hearts A61M60/00; artificial kidneys A61M1/14)-- .Prostheses implantable into the body {closure means for urethra or rectum or for artificial body openings therefor A61F2/0004}-- ..Heart valves {; Vascular valves, e.g. venous valves; Heart implants, e.g. passive devices for improving the function of the native valve or the heart muscle; Transmyocardial revascularisation [TMR] devices; Valves implantable in the body}-- ...Devices for manipulating or deploying heart valves during implantation-- ....Deployment by mechanical expansion","Prosthetic heart valve holder. --Holder, Heart-Valve, Prosthesis",DTJ
A61B6/032,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T1/161; apparatus for taking X-ray photographs G03B42/02)-- .Devices for diagnosis sequentially in different planes; Stereoscopic radiation diagnosis-- ..Computerised tomographs (echo-tomography A61B8/14)-- ...Transmission computed tomography [CT]","Patient scale. --Scale, Patient",FRW
A61B5/055,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recordingfor diagnosis by means of electric currents or magnetic fields; Measuring using microwaves or radio waves (impedance plethysmographyA61B5/0295; measuring movement of the entire body or parts thereofA61B5/11; detecting, measuring or recording bioelectric orbiomagneticsignals of the body or parts thereofA61B5/24)-- ..involving electronic [EMR] or nuclear [NMR] magnetic resonance, e.g. magnetic resonance imaging","Patient scale. --Scale, Patient",FRW
G06T7/0012,"PHYSICS-- INSTRUMENTS; MEASURING; TESTING-- COMPUTING; CALCULATING; COUNTING-- IMAGE DATA PROCESSING OR GENERATION, IN GENERAL-- Image analysis-- .Inspection of images, e.g. flaw detection-- ..Biomedical image inspection","Patient scale. --Scale, Patient",FRW
A61G1/0212,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Ambulance service; Stretchers-- .with wheels-- ..characterised by the number of supporting wheels if stretcher is extended-- ...2 pairs having wheels within a pair on the same position in longitudinal direction, e.g. on the same axis","Wheeled stretcher. --Stretcher, Wheeled",FPO
A61G1/0287,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Ambulance service; Stretchers-- .with wheels-- ..having brakes, e.g. slowing down and/or holding (details of brake actuators on castors B60B33/0078; brakes on hand carts B62B5/04; brakes in general F16D49/00 - F16D65/853)","Wheeled stretcher. --Stretcher, Wheeled",FPO
A61G1/0237,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Ambulance service; Stretchers-- .with wheels-- ..having at least one swivelling wheel, e.g. castors","Wheeled stretcher. --Stretcher, Wheeled",FPO
G16H40/67,"PHYSICS-- INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS-- HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA-- ICT specially adapted for the management or administration of healthcare resources or facilities; ICT specially adapted for the management or operation of medical equipment or devices-- .for the operation of medical equipment or devices-- ..for remote operation","Powered communication system. --System, Communication, Powered",ILQ
A61B5/14532,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Measuring characteristics of blood in vivo, e.g. gas concentration, pH value; {Measuring characteristics of body fluids or tissues, e.g. interstitial fluid, cerebral tissue}(measuring of blood pressure or blood flow A61B5/02; non-radiation detecting or locating of foreign bodies in blood A61B5/06)-- ..for measuring glucose, e.g. by tissue impedance measurement","Powered communication system. --System, Communication, Powered",ILQ
A61B5/0022,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Remote monitoring of patients using telemetry, e.g. transmission of vital signals via a communication network (A61B5/07 takes precedence; transmission systems for measured values G08C; transmission H04B; transmission of digital information H04L; wireless communication networks H04W)-- ..characterised by features of the telemetry system-- ...Monitoring a patient using a global network, e.g. telephone networks, internet","Powered communication system. --System, Communication, Powered",ILQ
A61B5/369,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recording bioelectric or biomagnetic signals of the body or parts thereof-- ..Modalities, i.e. specific diagnostic methods-- ...Electroencephalography [EEG] (devices for psychotechnics A61B5/16)","Liquid crystal forehead temperature strip. --Strip, Temperature, Forehead, Liquid Crystal",KPD
G16H50/20,"PHYSICS-- INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS-- HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA-- ICT specially adapted for medical diagnosis, medical simulation or medical data mining; ICT specially adapted for detecting, monitoring or modelling epidemics or pandemics-- .for computer-aided diagnosis, e.g. based on medical expert systems","Liquid crystal forehead temperature strip. --Strip, Temperature, Forehead, Liquid Crystal",KPD
A61B5/14532,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Measuring characteristics of blood in vivo, e.g. gas concentration, pH value; {Measuring characteristics of body fluids or tissues, e.g. interstitial fluid, cerebral tissue}(measuring of blood pressure or blood flow A61B5/02; non-radiation detecting or locating of foreign bodies in blood A61B5/06)-- ..for measuring glucose, e.g. by tissue impedance measurement","Liquid crystal forehead temperature strip. --Strip, Temperature, Forehead, Liquid Crystal",KPD
A61B5/742,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Details of notification to user or communication with user or patient (indicating measured values G01D7/00); ; user input means (input or output arrangements for computers G06F3/00)-- ..using visual displays (A61B5/339 takes precedence)","Clinical color change thermometer. --Thermometer, Clinical Color Change",FQZ
A61B5/0531,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recordingfor diagnosis by means of electric currents or magnetic fields; Measuring using microwaves or radio waves (impedance plethysmographyA61B5/0295; measuring movement of the entire body or parts thereofA61B5/11; detecting, measuring or recording bioelectric orbiomagneticsignals of the body or parts thereofA61B5/24)-- ..Measuring electrical impedance or conductance of a portion of the body-- ...Measuring skin impedance","Clinical color change thermometer. --Thermometer, Clinical Color Change",FQZ
A61B5/4875,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Other medical applications-- ..Determining body composition-- ...Hydration status, fluid retention of the body","Clinical color change thermometer. --Thermometer, Clinical Color Change",FQZ
A61F5/566,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Orthopaedic methods or devices for non-surgical treatment of bones or joints (surgical instruments or methods for treatment of bones or joints, devices specially adapted therefor A61B17/56); Nursing devices; {Anti-rape devices}(bandages, dressings or absorbent pads A61F13/00)-- .Devices for preventing snoring {by influencing the respiratory system by gas treatment A61M16/00}-- ..Intra-oral devices","Nasopharyngeal airway. --Airway, Nasopharyngeal",BTQ
A61M16/0486,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Tracheal tubes (catheters in general A61M25/00)-- ..Multi-lumen tracheal tubes","Nasopharyngeal airway. --Airway, Nasopharyngeal",BTQ
A61M16/0461,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Tracheal tubes (catheters in general A61M25/00)-- ..Nasoendotracheal tubes","Nasopharyngeal airway. --Airway, Nasopharyngeal",BTQ
A61K9/1652,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations characterised by special physical form {nuclear magnetic resonance contrast preparations or magnetic resonance imaging contrast preparationsA61K49/18; preparations containing radioactive substancesA61K51/12}-- .Particulate form, e.g. powders, {Processes for size reducing of pure drugs or the resulting products, Pure drug nanoparticles (microspheres A61K9/16; microcapsules A61K9/50; nanocapsules, nanoparticles of the matrix type A61K9/51)}-- ..Agglomerates; Granulates; Microbeadlets {; Microspheres; Pellets; Solid products obtained by spray drying, spray freeze drying, spray congealing,(multiple) emulsion solvent evaporation or extraction (A61K9/20 takes precedence if the final form is a tablet; microspheres with drug-free outer coating, microcapsules A61K9/50; mixture of different granules, microcapsules, (coated) microparticles A61K9/5084; nanoparticles A61K9/51)}-- ...Excipients; Inactive ingredients-- ....Organic macromolecular compounds-- .....Polysaccharides, e.g. alginate, cellulose derivatives; Cyclodextrin (homeopathic globules A61K9/1623)","Air-fluidized bed. --Bed, Air Fluidized",INX
A61K9/0056,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations characterised by special physical form {nuclear magnetic resonance contrast preparations or magnetic resonance imaging contrast preparationsA61K49/18; preparations containing radioactive substancesA61K51/12}-- .Galenical forms characterised by the site of application-- ..Mouth and digestive tract, i.e. intraoral and peroral administration (rectal administration A61K9/0031)-- ...Mouth soluble or dispersible forms; Suckable, eatable, chewable coherent forms; Forms rapidly disintegrating in the mouth; Lozenges; Lollipops; Bite capsules; Baked products; Baits or other oral forms for animals","Air-fluidized bed. --Bed, Air Fluidized",INX
A61K9/2054,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations characterised by special physical form {nuclear magnetic resonance contrast preparations or magnetic resonance imaging contrast preparationsA61K49/18; preparations containing radioactive substancesA61K51/12}-- .Pills, tablets, {discs, rods (A61K9/0004, A61K9/0007, A61K9/0056, A61K9/0065 take precedence; for reconstitution of a drink A61K9/0095)}-- ..Excipients; Inactive ingredients-- ...Organic macromolecular compounds-- ....Polysaccharides, e.g. alginate, gums; Cyclodextrin-- .....Cellulose; Cellulose derivatives, e.g. hydroxypropyl methylcellulose","Air-fluidized bed. --Bed, Air Fluidized",INX
A61C19/066,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for dentistry A61K6/00; preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00)-- Dental auxiliary appliances (dental chairs or accessories therefor, working stands whether or not combined with chairs A61G15/00)-- .Implements for therapeutic treatment (radiation therapy A61N5/00)-- ..Medicament applicators for teeth or gums, e.g. treatment with fluorides-- ...Bleaching devices; Whitening agent applicators for teeth, e.g. trays or strips","Dental protector. --Protector, Dental",BRW
A61C19/063,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for dentistry A61K6/00; preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00)-- Dental auxiliary appliances (dental chairs or accessories therefor, working stands whether or not combined with chairs A61G15/00)-- .Implements for therapeutic treatment (radiation therapy A61N5/00)-- ..Medicament applicators for teeth or gums, e.g. treatment with fluorides","Dental protector. --Protector, Dental",BRW
A63B71/085,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- SPORTS; GAMES; AMUSEMENTS-- APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising, massage A61H)-- Rackets, bats, or other accessories for ball games; Stringed rackets, e.g. for tennis (strings therefor A63B51/00)-- Games or sports accessories not covered in groups A63B1/00 - A63B69/00(starting appliances A63K3/02)-- .Body-protectors for players or sportsmen {, i.e. body-protecting accessories affording protection of body parts against blows or collisions}; (protective clothing or garments for sporting purposes A41D13/00)-- ..Mouth or teeth protectors (A63B71/081 takes precedence)","Dental protector. --Protector, Dental",BRW
